,emotion_id,emotion,emotion_en,talkbacks
0,3,"חשש, פחד",fear," הרופאה מטעה את הציבור:  מי שנושא את הנגיף הוא חולה!.
שלא מחזירה אותם.
הם ישבו מול המצלמות והזילו דמעה שקשה להם ואיזה שמשרד הבריאות מפקירהאותם.
ובסוף הם הביאו את המחלה לישראל.
היה צריך להשאיר אותם (את כולם) על הספינה "
3,3,"חשש, פחד",fear," לסגור, כי אף אחד לא צריך להפגע מההפקרות במגזר החרדי. "
5,5,"עצב, צער",sadness," מתנגדי חיסונים מקבלים קשה מאוד את המחלה.
ממש חבל, עצוב גם לבעלה ולילדים, יהי זכרה ברוך!"
6,7,"זעם, כעס",anger," אם לא הקורונה היו מתים מאות אנשים..
האיראנים יוצאים מזה פיזית ונפשית  וגילאית יותר חזקים.צאו מהלם השפעת.צריך להקפיד ולשמור אך לרסק את הבית את ישראל האום נתן לכם מדינה בגלל השואה נפלתם על הראש אלו הקצינים שלכם שיצטרכו לקבל החלטות קשות אוי ואבוי לכם.בריאות לכולם בעולם."
7,0,"ציפייה, הבעת עניין",expectation," חייבים לתבוע את סין לרושש אותם.זה וירוס מהונדס.
הסינים לקחו סיכון שכמה מאות אלפים ימותו. העיקר להרוס את המערב כלכלית"
9,5,"עצב, צער",sadness," לא הבנתי מה הלחץ ? בודקים אותם ואם אין קורונה מביאים לארץ....
ליכודניקים סתומיםולמה לעזאזל יש לתיירים ישראלים ביפן הכלואים בבידוד דגל ישראל בתיק?זה חלק מהנחיות הביביסטים ליציאה לחו""ל ? פק""ל דגל?"
11,5,"עצב, צער",sadness," מחאת הגברים, שמים סוף לאפליית גברים לרעה!!!.
הנוכלים באינטרנט שעוקצים ללא הפרעה מיליוני אומללים. המונים לא יכנסו יותר לקניונים ומסעדות. הם יהרסו את המשק."
14,3,"חשש, פחד",fear," ברור כאשר המעצמות עסוקות בקורונה אירגוני טרור יקפצו על זה.
מסתכל עליהם מרססים אוטובוס ומבין למה הם בצרות.
.  צריך לרסס איפה שבד""כ נוגעים , בחיבור הדלתות , בעמודים בתוך האוטובוס  בגובה המתאים וכו'.
וכו'.
  אבל    מרסססים את הגלגלים טוב טוב.
"
17,6,"סלידה, אי אמון",disgust, לא נורא אם תלמדו שאפשר לחיות גם עם 6000-5000 שח לחודש 
19,6,"סלידה, אי אמון",disgust," זה היה לגמרי צפוי בגלל העיכוב בהכרזה על בידוד ממדינות נוספות.
למה להלחיץ את כל תושבי המרכז שכולל מלא ערים מה קשה קודם כל לפרסם מאיזה עיר הבנאדם?"
21,6,"סלידה, אי אמון",disgust," אצלנו חייל שצילם התכנסו צופופה של חיילים נשלח ל 28 ימי מחבוש.
מה שקרה שם זה שהקצין התלונן וקיבל עזרה בעקבות המכתב, מה שלא התקבל זה הדלפה לעיתונות כי אז זה הופך פוליטי.מי שרוצה להדליף שילך להיות פוליטיקאי אבל לא בכיר בצבא"
23,7,"זעם, כעס",anger," סיפור זהה אצלנו. לא יאמן! .
הייתי מאיים עליהם שאני אצא למרחב הציבוריואני עם תסמנים ואדביק אנשים למרות שלא אצא אבל איום יעזור"
24,0,"ציפייה, הבעת עניין",expectation," תגידו אתם חושבים סתם.
(למרות כל החולים והמתים ממנו, לצערי). ההתחשבנות הרטרואקטיבית לגבי החזרים תיעשה אח""כ בתקווה שישולמו הכספים."
25,6,"סלידה, אי אמון",disgust," מהגר לא חוקי ומקבל תנאים כאלו. הזוי. שיחזירו אותו למולדתו.
או על ידי הגירה מהעולם השלישי או על ידי מלחמות מומצאות שלא נגמרות"
27,5,"עצב, צער",sadness," אנשים רעים, קונים כמויות ולאחרים אין..
הטובים, טיסות אינסופיות, קניות ללא גבול. כלום לא ישתנה. נמשיך להרוס את העולם לשרף אותולפגוע באקלים. כלון לא ישתנה. מה זה מיאש."
28,6,"סלידה, אי אמון",disgust," כמה בדיקות נעשו בכל יום?.
מתוכם רק 10% חולים קשה. 
הקשישים פחות נדבקים ומבריאים מהר יותר הבעיה היא אם אילו עם מחלות רקע קשות , תשאלו את ביבי אחרי פגישות עם 3 חולי קורונה לא נדבק"
29,6,"סלידה, אי אמון",disgust," עונש.
אתם מעבירים מסר כאילו אנשים נדבקים בבידוד , אלו שאובחנו לאחרונה יכולים היו להידבק , אבל קרוב לוודאי שהם נדבקו לפני כן ועכשיו התפרצה אצלם המחלה."
30,7,"זעם, כעס",anger," יוזמה מעולה, חייבים להפחית ברגולוציה בתקופה זו.
פטנטים אמורים ספק הגנה!וברור שזה עוזר לביבי - אז זה ממש כמו שוחד שנותן לו בית המשפטכ""ל והמשותפת חייבים להתקומם!ולהפגין!"
31,3,"חשש, פחד",fear,"  ברמת בית שמש יש התפרצות קשה מאד.
המחלה כבר בעל מקום. צריך לחזור שגרה זהירה ."
32,4,"הפתעה, תדהמה",surprise, ממתי אוניברסיטה לא מוכרת מדווחת נתון שלא בסמכותה?! 
34,7,"זעם, כעס",anger," שהה במקווה ?.
הגיע הזמן שחרדים ישמשו דוגמה לשירות בצבא, בתשלום מיסים, בציות לחוק, בכיבוד סימלי המדינה, ביציאה לעבודה ופרנסה.
כשזה יגיע לא נצטרך את המשיח."
35,6,"סלידה, אי אמון",disgust," זה מה שקורה כשחושבים על כסף.
הסינים   אשמים   במה שקורה   בעולם   אם  בענין   הנגיף   אם ,צריכים   לשנות   את   צורת האכילה  שלהם   אם  אוכלים  הכול אוכל   מגעיל ודוחה   "
36,3,"חשש, פחד",fear," סגר על כלל האזרחים ללא השבתה כללית של המשק.
כל בתי הקפה וחלק גדול מהמסעדות ברחוב סוקלוב פתוחים .
לא מעניין אף אחד בפיקוח ולא ניתן להגיע לראש העיר.
שמים פס על בריאות הציבור ."
40,0,"ציפייה, הבעת עניין",expectation," אם כולם בבית אז ההומלסים הכי מוגנים....
ומה קורה עם ההומלסים אצלנו? האם בשילטון הרע הזה ינצל את המצב הנורא לפתרון הסופי של בעיית חסרי הבית???"
42,3,"חשש, פחד",fear," אדישות מוחלטת.
אתם שם בכנסת עוד לא הפסקת ם לריב מה הבעיה עוד חודש חודשיים מה בוער "
46,6,"סלידה, אי אמון",disgust," מחאת הגברים, שמים סוף לאפליית גברים לרעה!!!.
מדובר בםקידים זוטרים חסרי השכלה וניביון שהשתלטו על מדינה, במקום ועדת מומחים רחבה.מזעסע. זה ירשם כשפל נוראי בהנהגה, הצבעתי ביבי, אבל הפעם נראה שהעדיף את ברסי כזה יעמוד לועדת חקירה ולכן היה לו נוח שישאר. "
48,0,"ציפייה, הבעת עניין",expectation," הבעייה היא בבדיקה, במעבדה, או באיסוף הנתונים, בתוכנה?.
טעויות קוראות ויקאו...אפשר לגלות קצת הבנה וסלחנות ללחץ העצום שכל מערכת הבדיקות נימצאת. טעויות זה אנושי. קצת צניעות."
50,6,"סלידה, אי אמון",disgust," ומה קורה עם החבילות שקונים מאיביי ועלי אקספרס אולי הם נגועות.
על פני הדברים ביבי ממשיך להזרים לחמס כסף וגם לא להגיב לטרור האינסופי שתושבי הדרום סובלים ממנו.אז לדעתנו כל דבר עדיף על זה!!!"
51,7,"זעם, כעס",anger," דת הורגת, טמטום הורג.
מסתבר שללא ספק בית כנסת הוא מקום מסוכן ביותר להתרחק משם ולא רק בזמן של מגיפה"
52,3,"חשש, פחד",fear," יש תרופה, אבל לא ישתמשו , הבטיחו תסריט אימים.
לא רק לדלקת ריאות. ועכשיו יימנע מחולים לקבל אותה"
55,0,"ציפייה, הבעת עניין",expectation,"גם בתור איש ימין, אודה שאתה אדם מיוחד. תענוג לקרוא את הדבריםובעיקר- את רוח הדברים, את הדרך היחודית והלא מתלהמת להעביר ביקורת. וגם את ההומור. תבורך. האמת היא שהמדינה חייבת, לא רק צריכה, לתמוך באומנים ולא כנדבות. כולנו חייבים מראה מולנו, והם היחידים שמציבים אותה. אמנם לא תמיד בדרך אלגנטית, אבל זה עדיף על העדר מראה. מאחל לך עוד שנים רבות של פעילות אמנותית לטובת כולנו."
57,6,"סלידה, אי אמון",disgust," במדינה מתוקנת האדם הזה היה פורש לביתו.
אך דורשים מגוון עצום של שירותים וקצבאות על כל העיריות בארץ"
59,3,"חשש, פחד",fear," למה המדינה לא מחטאת מקומות ציבוריים. פוליטיקאים כושלים.
לא ברור לפתוח או לא?"
62,6,"סלידה, אי אמון",disgust," אתה לא חייב לחזור...למעשה נשמח אם תישאר שם.
שערורייה   בתיפקוד  בנתבג   אן אחריות ואף אחד לא יודע מה קורה   בושההה"
64,7,"זעם, כעס",anger," ממליץ להכניס אותם לכלא..
תאילנד לא פחות בטוחה מישראל, מאכילים אותכם בכפית...תפסיקו לבודד אותנו לדעת.עברנו וירוסים קשים מהקורונה.קחו אוויר תרגעו.ושחררו אותם מהבידוד  הוא לא הפקטיבי."
65,5,"עצב, צער",sadness," ערב רב וגייס חמישי של אויבי המדינה.
הקשישים בבתי אבות זה כמו ספינת קורונה, ברור שהסיכון הרבה יותר גבוה לעומת הבית. ואין טעם לפנות דמנטים סיעודיים לבתי חולים כי אין תוחלת וסיכוי בלהנשים אותם. צריך טיפול סיעודי הומני ככל האפשר"
66,6,"סלידה, אי אמון",disgust," אוכלי חינם.
ממש מסכנים, עושקים אותנו בהופעות באירועים ובחגים, כרטיסים לפסטיגל עולים כמו משכורת חודשית, מלמדים אותנו תרבות צריכה מופרזת וחומריות.תרגישו קצת מה זה להיות ""רגילים"", חצופים"
68,6,"סלידה, אי אמון",disgust," צריך לפעול בשיטת האזיקונים האלקטרונים .
אני לא מבין את האדישות של חלק גדול מהאנשים מה יקרה אם תדחו חופשה??אני מבין את אלה שחייבים לעבוד אבל גם אם אפשר לדחות למה לא!!אבל לצאת לחופשות וטיולים במצב כזה!!!!איזה עם מפונק"
69,0,"ציפייה, הבעת עניין",expectation," למה אלוהים הפיץ את הוירוס בכנסיה בקוריאה?.
כאן מדובר בוירוס חדש שאין נגדו חיסון. שיעור המתים בשפעת מכלל החולים הוא כעשירית האחוז. בקורונה השיעור גבוה בהרבה"
72,3,"חשש, פחד",fear,"גם סמינר אור החיים במרכז אכלוסיה בסיכון גבוה 
ושם כנראה יש אינטרס שיהיה כמה שיותר חולים ואז יקבלו יותר כסף על התת תנאים שבפנימיהועכשיו מובן למה אין הכרזות על הגבלות בציבור החרדיהציבור לא אשם...הפוליטיקאים אשמים!!!...                "
74,5,"עצב, צער",sadness," המגזר הציבורי לא נפגע בשכר מהמשבר.
דני- בוא להיות מורה אם זה כ""כ פשוט, קל ומשתלם. בנתיים מרוב שזה כ""כ כדאי, חסרים המון מורים, אנשים טובים מגיעים ועוזבים מיד..."
75,2,הבעת אמון,trust," ספיניהו בניסיון בריחה מהכלא.
לא סתם בקוקפיט של מטוס קרב יושב טייס אחד!בזמנים קשים צריך לקבל החלטות קשות, ואין דרך לעשות זאת כשיש 4 דעות ואין גורם אחד שיודע לקבל את ההחלטה הסופית גם אם היא לא לרוחם של היתר"
78,6,"סלידה, אי אמון",disgust, לא כיפת ברזל ולא נעליים. לא בדקו אף אחד שנכנס  
79,6,"סלידה, אי אמון",disgust," לפני ששת הימים ראש הממשלה לא היה מואשם בשוחד, מרמה והפרת אמו.
גם לספור ראש אירגון השפע הזה לא יודע"
80,6,"סלידה, אי אמון",disgust," סינים קניבלים להוריד אטום על סין.
אל על היא חברת הובלות לא חברת תעופה 
מתי תבינו זאת ! 
מתנהלת בניגוד לחוק הבינלאומי בגלל כוח פוליטי ומקבלת גיבוי מארגון פשע הליכוד ! "
82,6,"סלידה, אי אמון",disgust," ישראל כץ תפסיק להביך אותנו בבקשה.
בארץ זה לא יהיה 5 כוכבים...."
83,6,"סלידה, אי אמון",disgust," כמו האזרחים, יכולת לבחור לגור עם בני המשפחה יחד!.
לאט לאט מגלים שכל חברי הכנסת שנתנו יד לעוצר בליל הסדר, הם אלו שהפרו אותו. כל כך לא מפתיע. תמיד הצביעו בעד חוק. תמיד הם מחוץ לחוק. ובסוף אומרים שביבי עבריין."
84,0,"ציפייה, הבעת עניין",expectation," שימו לב .
המסכה נועדה למנוע הידבקות בנגיף. נגיף זה  לא חיידק !!!"
85,6,"סלידה, אי אמון",disgust," אם יהיה סגור בשבת, יש להוציא את המפלגות הדתיות מחוץ לחוק..
הכל תאוריה. בתכלס אתה מצלצל למד""א הם אומרים שיחזרו אליך ואף אחד לא חוזר. אין מספיק בדיקות והבירוקרטיה שיאשרו לך בדיקה לא נגמרת כמו כל דבר בישראל."
86,3,"חשש, פחד",fear, מסכה לא תבודד מהנגיף 
88,0,"ציפייה, הבעת עניין",expectation," יכולתם לחסוך את התמונה של אבעבועטות שחורות.צהובון.
היסטריה וטמטום במקרה הטוב, אג'נדה של הפחדה ויצירת היסטריה המונית כדרך לדיקטטורה, במקרה הפחות טוב (אבל ריאלי להחריד)"
91,1,"שמחה, התלהבות",happy," טעות חמורה.
ברחבי העולם ישנם רודנים ששולטים ומחליטים טרור מדינותיהם וכלפי אזרחיהם. הפוליטיקה הנאו פשיסטית היא אופנתית?חכו שתסתיים הקורונה.הם עוד  ימציאו מלחמות."
97,6,"סלידה, אי אמון",disgust," חוצפה מזרח ירושלמית.
בטח תפנקו את החיילים במחסומים וברחובות בקפה ועוגה...צביעות לשמה."
99,1,"שמחה, התלהבות",happy," חדשות טובות בשבוע הקשה הזה.
יתן מלך מלכי המלכים לכם ולחבריכם שעוסקים במלכת הקודש בריאות אושר קיימתם את כול התורה כולה בהצלחה לכם"
100,3,"חשש, פחד",fear," משרד הבריאות ואופן ניהולו סכנה לבריאות הציבור והמדינה!.
משרד הבריאות לא להיט במשבר הזהממשרד שבעיקר עסק בפיקוח רגוטלרי הוא הפך למשרד שאמור לנהל משבר שגדול עליו ב10 מספרים"
105,6,"סלידה, אי אמון",disgust," ברור שחרורו בני ברק ואזורים אדומים בירושלים מהסגר.
משרד הבריאות? שותים את כל התקציבים שלא קיבלו במשך עשרות שנים ועכשיו מחזיקים את הציבור כבני ערובה על מנת להתאושש?"
107,6,"סלידה, אי אמון",disgust," אסור לעבוד בכלל, חיזרו לכולל .
חייבים תחבורה בעיקר לתל אביב משום ששם אין חניות לרכב פרטי. חייבים להחזיר תחבורה לאלה שעובדים. ואוטובוסים נקיים ובטוחים. ובמרחק של 2 מטר אחד מהשני."
108,0,"ציפייה, הבעת עניין",expectation," מסכות במחיר שפוי.
ואווליי שיהיה סגר שבועים רצוף כך שנוכל להשתלט  על הנגיף .ונזכה לחבק את ההורים שלנו בחודשים הקרובים.
חג שמח לכוחות הביטחון.
והשם יברך אותכם בבריאות איתנה אמן "
110,7,"זעם, כעס",anger," ליצמן הביתה!!!!!! .
מדוע בבית משפט יכולים להצטופף מניין משתתפים ובאוטובוס יכולים להיות  50 נוסעים וזה מותר
אז מדוע אסור למניין יהודים להתפלל ביחד ?
למה ? כי זאת ממשלה של רשעים"
111,6,"סלידה, אי אמון",disgust," מגן הפדופילים, נוטל כספי השוחד, מצ'פר הדתיים.
אבל בטוח שתעשה עבודה טובה בשיכון כמו בבריאות, חזק ואמץ ליצמן העם איתך"
113,6,"סלידה, אי אמון",disgust," במפעלים חיוניים לא מאפשרים עבודה מהבית גם למי שיכול.
רוב הציבור, ואתם מבינים על מי אני מדבר, לא יקשיב להנחיות ושום דבר לא יעזור. הרבה יותר פרקטי ויעיל להכניס את הזקנים והחולים להסגר."
114,6,"סלידה, אי אמון",disgust," למה אין בידקות בנתב""ג של נוסעים נכנסים, כמו במקומות אחרים?.
גם בתאילנד נושמים לרווחה בלי ישראלים המזרח מעולם לא היה יפה יותר וגם נקי הרבה יותר, הלוואי וגם כאן יסגרו בפני הישראלי המכוער ופרימיטיב את השערים לנצח תלכו לטייל בבני ברק "
116,7,"זעם, כעס",anger," מכס.
להשאיר אותן שם שיסתדרו 
גם ככה כל המטיילים צפצפו על הנהלים. הם יכלו לחזור מוקדם יותר לארץ אבל לא רצו. היו צריכים להיתקע בפרו ולהתמודד עם הבחירות שלהם"
117,3,"חשש, פחד",fear," נמאס.
התנהלות של אנשים לא נכונים ברגעים קריטיים ברגעי המדינה פשוט חלם שאין כדוגמתו.
ביבי לך הביתה"
121,6,"סלידה, אי אמון",disgust, שטרות של כסף לא מעבירים?!?!!!! 
123,3,"חשש, פחד",fear, למה לא מבטלים לימודים באוניברסיטאות ? 
126,0,"ציפייה, הבעת עניין",expectation," טמטום, איפה הסארס?! שפעת החזירים?! .
גם תרופה שתתן מענה חלקי, אבל תוריד את רמת ה אישפוז לרמה של שפעת קשה תאפשר חזרה לשגרה. תרופה שתתן תוצאות פחות טובות תוכל להחזיר לפחות לשגרה חלקית באופן מהיר יותר."
128,6,"סלידה, אי אמון",disgust," מסכנה מישל אובמה. קשה.  מיליונים. שומרי ראש.
המערב נתפס במערומיו כשסין שולטת בו, מפיצה וירובים אחכ מוכרת ציוד מיגון במיליונים לאירופה, ארהב ושאר העולם. בושה לנו"
130,6,"סלידה, אי אמון",disgust," בולשיט.  קונים בכסף והרבה כסף.
והייתי מבצע בדיקות להכול"
131,5,"עצב, צער",sadness," בתי האבות.
 חבל שהתשקורת עעשה מהנושא מחדל.
בכל העולם בין 40-70 אחוז מהנפטרים הם דיירי בתי אבות.
ישראל לא שונה בנושא הזה מהעולם.
זה עצוב זה חבל זה ההורים של כולנו.
אבל זה כמעט ובלתי נמנע ."
