,motion_id,emotion,emotion_en,talkbacks
0,0,כעס,anger,לא הרגשתי מושפל
1,0,כעס,anger,אני יכול לעבור מתחושה כל כך חסרת תקווה לכל כך מלאת תקווה רק מלהיות ליד מישהו שאכפת לו והוא ער
2,3,אהבה,love,אני תופס דקה לפרסם אני מרגיש טועה בחמדנות
3,2,שמחה,joy,"אני אי פעם מרגיש נוסטלגי לגבי האח, אדע שהוא עדיין בשטח"
4,3,אהבה,love,אני מרגיש עצבני
5,0,כעס,anger,"הרגשתי קצת עמוס לאחרונה, לא הייתי בטוח למה זה"
6,5,הפתעה,surprise,לקחתי או כמות מומלצת של מיליגרם או פעמים ונרדמתי הרבה יותר מהר אבל אני גם מרגישה כל כך מצחיקה
7,4,עצב,sadness,אני מרגיש מבולבל לגבי החיים כנער או עייף כמו גבר בן שנה
8,1,פחד,fear,"אני עם petronas במשך שנים, אני מרגיש ש-petronas הציג ביצועים טובים והרוויח עצום"
9,2,שמחה,joy,גם אני מרגיש רומנטי
10,0,כעס,anger,אני מרגישה שאני חייבת לגרום לסבל שאני רואה אומר משהו
11,1,פחד,fear,אני כן מרגיש שריצה היא חוויה אלוהית ושאני יכול לצפות למפגש רוחני כלשהו
12,3,אהבה,love,אני חושב שזו התקופה הקלה ביותר בשנה להרגיש לא מרוצה
13,0,כעס,anger,אני מרגיש אנרגיה נמוכה אני פשוט צמא
14,1,פחד,fear,יש לי הזדהות עצומה עם הנקודה הכללית אבל כסופר פרוטו אפשרי שמנסה למצוא זמן לכתוב בפינות החיים וללא סימן של סוכן שלא לדבר על חוזה הוצאה לאור זה מרגיש קצת יקר
15,1,פחד,fear,אני לא מרגיש בטוח שהחרדה נמצאת בכל צד
16,0,כעס,anger,לא ממש הרגשתי כל כך נבוך
17,0,כעס,anger,אני מרגיש די פתטי רוב הזמן
18,0,כעס,anger,התחלתי להרגיש סנטימנטלי לגבי בובות שהיו לי בילדותי וכך התחיל אוסף של בובות ברבי וינטג' משנות השישים
